City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,tisul',55.7611,88.3122,283.19,95,17,2.54,RU,1724868763
320,sola,-13.8833,167.55,298.55,65,100,9.64,VU,1724868764
321,holualoa,19.6228,-155.9522,298.08,86,20,0.0,US,1724868765
322,maintirano,-18.0667,44.0167,297.28,72,4,2.64,MG,1724868766
323,martapura,-3.4167,114.85,296.99,86,88,1.03,ID,1724868767
324,fuding,27.3273,120.214,298.65,95,94,0.73,CN,1724868768
325,tsiombe,-25.3,45.4833,295.26,68,0,1.77,MG,1724868769
326,cold springs,39.6802,-119.9766,300.28,24,0,0.57,US,1724868677
327,culebra,18.303,-65.301,304.26,76,12,3.58,PR,1724868772
328,lompoc,34.6391,-120.4579,297.98,77,0,2.57,US,1724868756
329,neiafu,-18.65,-173.9833,287.53,100,20,0.0,TO,1724868775
330,midvagur,62.0511,-7.1939,284.61,100,100,5.14,FO,1724868776
331,santa maria,-29.6842,-53.8069,293.81,54,23,4.19,BR,1724868722
332,puerto tirol,-27.3722,-59.0821,298.15,27,0,4.12,AR,1724868778
333,la jagua de ibirico,9.5623,-73.3341,310.29,37,83,1.9,CO,1724868780
334,oppdal,62.5943,9.6912,289.05,78,78,3.6,NO,1724868781
335,altai,46.3722,96.2583,286.25,52,1,0.9,MN,1724868782
336,zheshart,62.0731,49.5733,286.01,72,77,2.63,RU,1724868783
337,upata,8.0086,-62.3989,301.23,72,55,1.54,VE,1724868784
338,puerto san jose,13.9256,-90.8244,302.56,75,77,2.47,GT,1724868763
339,nova sintra,14.8667,-24.7167,300.38,76,62,2.74,CV,1724868786
340,lubuklinggau,-3.3,102.8667,297.47,77,100,0.21,ID,1724868787
341,rio gallegos,-51.6226,-69.2181,280.18,53,20,16.46,AR,1724868500
342,kigoma,-4.8769,29.6267,299.36,64,76,1.12,TZ,1724868790
343,bonthe,7.5264,-12.505,296.89,94,100,1.67,SL,1724868791
344,minas de marcona,-15.2119,-75.1103,291.04,52,87,5.94,PE,1724868792
345,sos'va,59.1766,61.8558,287.83,98,100,3.98,RU,1724868793
346,new norfolk,-42.7826,147.0587,281.99,97,100,4.57,AU,1724868794
347,hamilton,39.1834,-84.5333,308.82,50,20,1.54,US,1724868795
348,datong,40.0936,113.2914,291.66,61,16,1.58,CN,1724868796
349,aqadyr,48.2553,72.8483,287.68,52,28,4.55,KZ,1724868798
350,valle vista,33.7478,-116.8934,306.52,31,0,1.79,US,1724868799
351,kavaratti,10.5669,72.642,300.46,87,95,5.86,IN,1724868800
352,dire,12.2833,-10.9667,299.46,88,100,0.4,ML,1724868801
353,macau,22.2006,113.5461,302.99,89,20,2.57,MO,1724868802
354,tual,-5.6667,132.75,298.83,84,65,9.32,ID,1724868803
355,malvan,16.0667,73.4667,299.69,87,14,7.68,IN,1724868804
356,ephrata,40.1798,-76.1788,307.17,55,0,6.17,US,1724868805
357,vostochnyy,55.8167,37.8667,296.16,65,41,3.24,RU,1724868807
358,champerico,14.3,-91.9167,300.86,80,98,1.79,GT,1724868808
359,polyarnyye zori,67.3661,32.4981,285.74,73,94,2.01,RU,1724868809
360,suntar,62.1444,117.6319,281.79,74,100,1.44,RU,1724868810
361,fortuna,40.5982,-124.1573,295.33,73,0,2.06,US,1724868811
362,mosjoen,65.836,13.1908,287.44,88,40,3.6,NO,1724868812
363,kyaukse,21.6,96.1333,299.17,83,71,2.22,MM,1724868814
364,palikir - national government center,6.9248,158.1611,300.92,76,100,4.5,FM,1724868815
